objectid,name,yearpublished,sortindex,minplayers,maxplayers,minplaytime,maxplaytime,totalvotes,usersrated,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic,boardgamemechanic
70149,Ora et Labora,2011,114,1,4,60,180,169,9132,Increase Value of Unchosen Resources, Modular Board, Network and Route Building, Worker Placement, Worker Placement,NaN
14105,Commands and Colors  Ancients,2006,115,2,2,60,60,142,7655,Campaign / Battle Card Driven, Command Cards, Dice Rolling, Hand Management, Hexagon Grid, Modular Board
221194,Dinosaur Island,2017,116,1,4,90,120,90,8420,Action Points, Dice Rolling, Set Collection, Tile Placement, Worker Placement,NaN
233398,Endeavor  Age of Sail,2018,117,2,5,60,90,78,4521,Area Majority / Influence, Card Drafting, Set Collection,NaN,NaN,NaN
123260,Suburbia,2012,118,1,4,90,90,296,20018,Card Drafting, Hexagon Grid, Set Collection, Tile Placement,NaN,NaN
77423,The Lord of the Rings  The Card Game,2011,119,1,2,30,60,613,19123,Cooperative Game, Hand Management, Solo / Solitaire Game, Variable Player Powers,NaN,NaN
194655,Santorini,2016,120,2,4,20,20,277,21311,Square Grid, Three Dimensional Movement, Variable Player Powers,NaN,NaN,NaN
54043,Jaipur,2009,121,2,2,30,30,281,31102,Card Drafting, Hand Management, Score-and-Reset Game, Set Collection,NaN,NaN
43015,Hansa Teutonica,2009,122,2,5,45,90,253,10716,Action Points, Area Majority / Influence, End Game Bonuses, Network and Route Building, Ownership, Tech Trees / Tech Tracks
126042,Nations,2013,123,1,5,40,200,243,10457,Automatic Resource Growth, Card Drafting, Events, Turn Order: Pass Order, Variable Player Powers, Worker Placement
4098,Age of Steam  Deluxe Edition,2002,124,1,6,120,120,136,7881,Auction/Bidding, Catch the Leader, Dice Rolling, Loans, Network and Route Building, Player Elimination
175640,Vinhos Deluxe Edition,2016,125,1,4,60,135,63,3237,Area Majority / Influence, Variable Phase Order, Worker Placement,NaN,NaN,NaN
10630,Memoir '44,2004,126,2,8,30,60,283,23743,Area Majority / Influence, Campaign / Battle Card Driven, Command Cards, Dice Rolling, Grid Movement, Hand Management
91,Paths of Glory,1999,127,2,2,480,480,82,4216,Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement,NaN,NaN,NaN
233867,\u6b61\u8fce\u4f86\u5230,2018,128,1,100,25,25,138,10627,Paper-and-Pencil, Pattern Building,NaN,NaN,NaN,NaN
224037,Codenames  Duet,2017,129,2,4,15,30,139,10021,Communication Limits, Cooperative Game, Push Your Luck, Team-Based Game,NaN,NaN
39463,Cosmic Encounter  42nd Anniversary Edition,2008,130,3,5,60,120,541,25296,Alliances, Auction/Bidding, Hand Management, Negotiation, Race, Simultaneous Action Selection
171131,Captain Sonar,2016,131,2,8,45,60,275,13730,Grid Movement, Hidden Movement, Line Drawing, Real-Time, Role Playing, Secret Unit Deployment
155068,Arcadia Quest,2014,132,2,4,60,60,153,8341,Dice Rolling, Grid Movement, Modular Board, Take That, Variable Player Powers,NaN
21050,Combat Commander  Europe,2006,133,2,2,60,180,132,5045,Campaign / Battle Card Driven, Hexagon Grid, Simulation, Variable Phase Order,NaN,NaN
195421,Near and Far,2017,134,2,4,90,120,82,5727,Card Drafting, Dice Rolling, Narrative Choice / Paragraph, Network and Route Building, Set Collection, Storytelling
163068,Trickerion  Legends of Illusion,2015,135,2,4,60,180,82,5573,Action Points, Action Queue, Catch the Leader, Simultaneous Action Selection, Tile Placement, Turn Order: Stat-Based
104006,Village,2011,136,2,4,60,90,275,18465,Action Drafting, Contracts, Set Collection, Worker Placement, Worker Placement,NaN
118048,Targi,2012,137,2,2,60,60,101,10554,Modular Board, Set Collection, Turn Order: Progressive, Worker Placement,NaN,NaN
269385,The Lord of the Rings  Journeys in Middle-earth,2019,138,1,5,60,120,160,4468,Cooperative Game, Deck, Modular Board, Role Playing, Solo / Solitaire Game, Variable Player Powers
188920,This War of Mine  The Board Game,2017,139,1,6,45,120,274,6375,Action Points, Cooperative Game, Dice Rolling, Grid Movement, Push Your Luck, Role Playing
31627,Ticket to Ride  Nordic Countries,2007,140,2,3,30,60,172,10465,Card Drafting, Hand Management, Network and Route Building, Set Collection,NaN,NaN
199561,Sagrada,2017,141,1,4,30,45,235,19016,Card Drafting, Dice Rolling, Pattern Building, Set Collection,NaN,NaN
82222,Xia  Legends of a Drift System,2014,142,3,5,60,180,171,6227,Action Points, Dice Rolling, Grid Movement, Map Addition, Modular Board, Pick-up and Deliver
25021,Sekigahara  The Unification of Japan,2011,143,2,2,180,180,51,3739,Hand Management, Point to Point Movement, Secret Unit Deployment,NaN,NaN,NaN
244522,That's Pretty Clever,2018,144,1,4,30,30,179,9256,Dice Rolling, Paper-and-Pencil,NaN,NaN,NaN,NaN
148228,\u062c\u0648\u0627\u0647\u0631\u064a,2014,145,2,4,30,30,694,50062,Card Drafting, Contracts, Set Collection,NaN,NaN,NaN
9216,Goa  A New Expedition,2004,146,2,4,90,90,275,10684,Auction/Bidding, Auction: Once Around, Hand Management, Push Your Luck,NaN,NaN
215,Tichu,1991,147,4,4,60,60,262,12519,Betting and Bluffing, Hand Management, Ladder Climbing, Team-Based Game,NaN,NaN
223321,Detective  A Modern Crime Board Game,2018,148,1,5,120,180,109,4363,Cooperative Game, Solo / Solitaire Game, Storytelling,NaN,NaN,NaN
129437,Legendary  A Marvel Deck Building Game,2012,149,1,5,30,60,388,18107,Deck, Events, Semi-Cooperative Game, Solo / Solitaire Game, Variable Setup,NaN
146886,La Granja,2014,150,1,4,90,120,135,7244,Area Majority / Influence, Automatic Resource Growth, Dice Rolling, Hand Management, Income, Simultaneous Action Selection
176189,Zombicide  Black Plague,2015,151,1,6,60,180,140,10798,Cooperative Game, Dice Rolling, Modular Board, Variable Player Powers,NaN,NaN
463,Magic  The Gathering \u2013 White Planeswalkers Ajani Goldmane,1993,152,2,2,20,20,445,29526,Hand Management, Take That,NaN,NaN,NaN,NaN
188,Go,-2200,153,2,2,30,180,195,13752,Enclosure,NaN,NaN,NaN,NaN,NaN
555,The Princes of Florence,2000,154,2,5,75,100,254,14269,Auction/Bidding, Grid Coverage, Tile Placement,NaN,NaN,NaN
