objectid,name,category1,category2,category3,category4,category5,category6
2260,Blood and Iron,War,error,error,error,error,error
156358,The Black Rose,Bluffing, card, Deduction, Memory, murder_mystery, Adaptation
7143,Crossbows and Cannon,Renaissance, War,error,error,error,error
217322,Caramba,Dice,error,error,error,error,error
144346,Mess Machine,Bluffing, industry_manuf, Puzzle,error,error,error
31216,Whack a Catgirl,card, Humor,error,error,error,error
4093,Exit,strategy, Dexterity, Maze, Puzzle,error,error
55222,Clue  The Office,Deduction, Adaptation, murder_mystery,error,error,error
18945,Downfall  If the U.S. Invaded Japan,War, War,error,error,error,error
265571,Monopoly  Game of Thrones,Economic, Adaptation, Negotiation,error,error,error
166972,Bubble Bath Bunny,Childrens Game,error,error,error,error,error
211168,I Can't Even With These Monsters,card,error,error,error,error,error
151396,Bigfoot,Deduction,error,error,error,error,error
2495,Boggle Bowl,Dice, Word Game,error,error,error,error
6129,Jena,War, War,error,error,error,error
36560,Click Clack,Animals, Childrens Game, Dice,error,error,error
10820,Master,Trivia,error,error,error,error,error
10214,The Hundred Years War,Medieval, War,error,error,error,error
2970,Squatter,Animals, Economic, Farming,error,error,error
7060,NORAD,War, War,error,error,error,error
17021,W\u00fcrfel-Dinos,Childrens Game, Dice, Prehistoric, Racing,error,error
776,Remmi Demmi,Party Game, Real-time,error,error,error,error
162071,Vaults,card,error,error,error,error,error
11446,La Ruta del Tesoro,Economic, Negotiation,error,error,error,error
154728,Kosmiczna misja,Childrens Game, Space Exploration,error,error,error,error
151603,Scrabble Twists & Turns,Party Game, Word Game,error,error,error,error
40943,bOOLeO,card, Math,error,error,error,error
32004,Chaos,strategy,error,error,error,error,error
1247,Gangland!,card, Mafia,error,error,error,error
2337,Droids,Fighting, Sci_Fi,error,error,error,error
21366,RPGQuest  The Knights Templar,Exploration, Fantasy,error,error,error,error
3335,Ganoven Jagd,strategy, murder_mystery,error,error,error,error
97990,Uno Roboto,card, Electronic,error,error,error,error
242523,Dolly Crush,Animals, card, Farming, Puzzle,error,error
