objectid,name,boardgamemechanic1,boardgamemechanic2,boardgamemechanic3,boardgamemechanic4,boardgamemechanic5,boardgamemechanic6
193037,Dead of Winter  The Long Night,Action Points, Area Movement, Cooperative Game, Dice Rolling, Hand Management, Push Your Luck
92828,Dixit  Odyssey,Simultaneous Action Selection, Storytelling, Team-Based Game, Voting,NaN,NaN
93260,Summoner Wars  Master Set,Dice Rolling, Grid Movement, Hand Management, Variable Player Powers,NaN,NaN
234,Hannibal  Rome vs. Carthage,Area Majority / Influence, Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement, Simulation,NaN
59294,Runewars,Area Majority / Influence, Auction/Bidding, Grid Movement, Modular Board, Simultaneous Action Selection, Variable Player Powers
199478,Flamme Rouge,Hand Management, Modular Board, Race, Simulation, Simultaneous Action Selection,NaN
146439,BattleLore (Second Edition),Campaign / Battle Card Driven, Dice Rolling, Grid Movement, Modular Board, Variable Player Powers,NaN
3,Samurai,Area Majority / Influence, Hand Management, Set Collection, Tile Placement,NaN,NaN
66589,Navegador,Advantage Token, Area Movement, Rondel,NaN,NaN,NaN
181279,Fury of Dracula (Third\/Fourth Edition),Hidden Movement, Point to Point Movement, Secret Unit Deployment, Team-Based Game, Variable Player Powers,NaN
48726,Alien Frontiers,Area Majority / Influence, Card Drafting, Dice Rolling, Worker Placement with Dice Workers,NaN,NaN
101721,Mage Wars Arena,Dice Rolling, Grid Movement, Simultaneous Action Selection, Variable Player Powers,NaN,NaN
19777,Indonesia,Area Majority / Influence, Auction/Bidding, Pick-up and Deliver, Stock Holding,NaN,NaN
189932,Tyrants of the Underdark,Area Majority / Influence, Deck, Take That,NaN,NaN,NaN
222509,Lords of Hellas,Area Majority / Influence, Area Movement, Hand Management, Variable Player Powers, Worker Placement,NaN
13122,Antiquity,Grid Coverage, Modular Board, Tile Placement, Trading,NaN,NaN
169426,Roll Player,Card Drafting, Dice Rolling, Set Collection, Variable Player Powers,NaN,NaN
760,Battle Line,Hand Management, Set Collection,NaN,NaN,NaN,NaN
54138,Imperial 2030,Area Majority / Influence, Area Movement, Rondel, Stock Holding,NaN,NaN
217372,The Quest for El Dorado,Card Drafting, Deck, Grid Movement, Hand Management, Modular Board, Race
144344,Rokoko,Area Majority / Influence, Card Drafting, Deck, Hand Management, Set Collection,NaN
172081,Burgle Bros.,Action Points, Cooperative Game, Dice Rolling, Grid Movement, Modular Board, Solo / Solitaire Game
204583,\u05e7\u05d9\u05e0\u05d2\u05d3\u05d5\u05de\u05d9\u05e0\u05d5,Card Drafting, Pattern Building, Tile Placement,NaN,NaN,NaN
181304,Mysterium,Communication Limits, Cooperative Game, Hand Management, Pattern Recognition,NaN,NaN
228341,Pulsar 2849,Dice Rolling, Point to Point Movement, Variable Player Powers, Worker Placement with Dice Workers,NaN,NaN
172818,Above and Below,Action Points, Card Drafting, Deck, Dice Rolling, Narrative Choice / Paragraph, Set Collection
176734,The Manhattan Project  Energy Empire,Dice Rolling, Worker Placement,NaN,NaN,NaN,NaN
158600,\u82b1\u898b\u5c0f\u8def,Area Majority / Influence, Card Drafting, Force Commitment, Hand Management, I Cut,NaN
118,Modern Art,Auction/Bidding, Auction: English, Auction: Once Around, Auction: Sealed Bid, Auction: Turn Order Until Pass, Commodity Speculation
160477,Onitama,Grid Movement, Hand Management,NaN,NaN,NaN,NaN
17392,Here I Stand  Wars of the Reformation 1517-1555,Campaign / Battle Card Driven, Dice Rolling, Hand Management, Point to Point Movement, Variable Player Powers,NaN
77130,Sid Meier's Civilization  The Board Game,Card Drafting, Deck, Grid Movement, Hand Management, Modular Board, Rock-Paper-Scissors
197376,Charterstone,Card Drafting, Hand Management, Legacy Game, Solo / Solitaire Game, Worker Placement,NaN
45315,Dungeon Lords,Action Queue, Hand Management, Simultaneous Action Selection, Tile Placement, Worker Placement,NaN
40692,Small World,Area Majority / Influence, Area Movement, Dice Rolling, Increase Value of Unchosen Resources, Variable Player Powers, Victory Points as a Resource
59959,Letters from Whitechapel,Hidden Movement, Memory, Point to Point Movement, Secret Unit Deployment, Team-Based Game,NaN
2655,Hive,Grid Movement, Hexagon Grid, Tile Placement,NaN,NaN,NaN
41114,Der Widerstand,Hidden Roles, Memory, Simultaneous Action Selection, Team-Based Game, Traitor Game, Voting
163745,Star Wars  Armada,Action Queue, Critical Hits and Failures, Dice Rolling, Variable Player Powers,NaN,NaN
119890,Agricola  All Creatures Big and Small,Automatic Resource Growth, Enclosure, Tile Placement, Worker Placement,NaN,NaN
139976,Cthulhu Wars,Action Points, Area Majority / Influence, Area Movement, Dice Rolling, Variable Player Powers,NaN
136888,Bruges,Dice Rolling, Hand Management,NaN,NaN,NaN,NaN
25292,Merchants & Marauders,Action Points, Area Movement, Dice Rolling, Pick-up and Deliver, Variable Player Powers,NaN
264220,Tainted Grail  The Fall of Avalon,Area Movement, Cooperative Game, Deck, Dice Rolling, Modular Board, Narrative Choice / Paragraph
206718,Ethnos,Area Majority / Influence, Card Drafting, Hand Management, Set Collection,NaN,NaN
254640,Just One,Communication Limits, Cooperative Game,NaN,NaN,NaN,NaN
